#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
filtered_barcode04_extracted_plasmids.fastq	6811d9fe-2194-4a45-8b3b-760d4a2dbb89	2548	3760	+	mdf(A)_1	1-1233/1233	========/======	30/56	96.92	91.45	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	683ed202-06f7-4699-afd5-1b8ede282918	1126	2007	-	blaCMY-40_1	220-1100/1146	..======/======	36/63	74.17	67.58	resfinder	EU515251	blaCMY-40	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	6843a6b5-7d54-43b8-aa3f-496f6f306e56	67	1266	+	mdf(A)_1	4-1233/1233	========/======	42/78	95.38	87.48	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	68a382a1-dd24-4f60-a099-2c78523ec912	2	1172	+	mdf(A)_1	64-1233/1233	========/======	45/71	92.05	88.23	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	68a595ac-8a30-4d99-8c72-03616e5a84b0	3090	4209	-	mdf(A)_1	91-1228/1233	.=======/======	37/54	89.38	90.22	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	68ae5cca-59d8-481b-b3e2-2e1fc86f3754	14	1021	-	mdf(A)_1	1-1016/1233	========/====..	42/66	79.40	88.04	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	68c935dd-67b7-4bdc-855c-fadc09247490	1147	2350	+	mdf(A)_1	1-1233/1233	========/======	45/107	94.48	86.08	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	691f2c0a-19e7-4df5-993c-eee085ae81c6	990	1340	+	tet(34)_1	66-417/465	.=======/=====.	9/13	74.19	72.63	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	69489cad-fe34-4c84-a060-2af7da0aea6d	2490	2839	+	tet(34)_1	77-421/465	..======/=====.	8/13	73.33	70.34	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	698d2861-3c2d-4207-a854-3adcdbddff13	437	1669	-	mdf(A)_1	1-1228/1233	========/======	35/59	97.40	90.40	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	69a5c790-053f-4d0c-9b1d-a957ceca0371	2588	3822	+	mdf(A)_1	4-1233/1233	========/======	39/67	97.24	89.81	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	69a7a1d8-63b4-4c14-aa86-15a5381e2b6f	5043	6079	-	blaCMY-40_1	37-1100/1146	========/======	44/91	87.70	68.43	resfinder	EU515251	blaCMY-40	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	69c0778f-ae36-4333-a975-d6314f3c3464	1960	2947	-	mdf(A)_1	247-1231/1233	..======/======	33/55	77.78	89.55	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	69c1f309-930a-4d55-8399-26a2157dff88	3971	5004	-	mdf(A)_1	182-1226/1233	..======/======	29/61	81.83	87.01	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	69c3fb2c-fb02-4adb-b8f5-8a3aba3a57d8	1865	2799	-	blaCMY-83_1	133-1085/1146	.=======/======	38/78	78.97	67.34	resfinder	JX440351	blaCMY-83	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	69cdcccc-c846-46b3-a653-71291f3044a3	1983	3222	+	mdf(A)_1	1-1224/1233	========/======	33/66	97.24	89.72	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	69daa7ba-9370-4f78-bb26-374c176bb9be	3264	4093	-	mdf(A)_1	382-1233/1233	....====/======	26/44	66.42	88.88	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	6a9525a6-be85-429d-9923-025060652c41	688	1042	+	tet(34)_1	66-421/465	.=======/=====.	6/7	75.70	74.09	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	6aa45153-9684-4196-a231-d922f551477c	2953	3974	+	blaCFE-1_1	76-1094/1146	========/======	41/69	86.04	68.72	resfinder	AB107899	blaCFE-1	
filtered_barcode04_extracted_plasmids.fastq	6abe96de-4f42-4b75-af5e-a53019899680	1801	2726	-	blaCMY-104_1	189-1103/1146	..======/======	35/83	76.70	67.98	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	6ad380ed-55ee-47b7-a43c-faf98b73026d	470	1379	-	blaCMY-40_1	144-1100/1146	.=======/======	39/101	77.05	65.65	resfinder	EU515251	blaCMY-40	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	6aef6120-4f97-4099-9d88-6e69a585f0e0	4741	5795	+	blaCMY-124_1	87-1130/1146	.=======/======	40/77	88.22	67.92	resfinder	KM985462	blaCMY-124	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	6b42811b-5e5f-4d0a-a246-363df1aff0fc	807	2055	+	mdf(A)_1	1-1233/1233	========/======	54/106	96.35	83.69	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	6ba9f727-9c40-4299-9ff6-afe20272420f	3538	3877	-	tet(34)_1	66-421/465	.=======/=====.	12/26	72.04	70.36	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	6bb0e6f1-9956-4bc0-8e3a-65330a0a24c6	1398	2366	-	blaCMY-98_1	133-1106/1131	.=======/======	28/43	84.00	69.18	resfinder	KC603538	blaCMY-98	
filtered_barcode04_extracted_plasmids.fastq	6bca102f-732f-473d-bc90-882ce3be8170	2	801	+	mdf(A)_1	445-1233/1233	.....===/======	23/43	62.69	89.95	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	6bee6253-b605-42d0-b116-4a406e290c28	3612	4595	+	blaCMY-104_1	160-1130/1146	.=======/======	26/45	83.33	70.20	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	6c48e911-3829-4fc8-b683-93eb7a6f7abf	905	2109	+	mdf(A)_1	5-1233/1233	========/======	32/74	95.70	90.19	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	6cb8049e-0914-4b06-a594-108b4c7fd4e9	493	1714	-	mdf(A)_1	3-1226/1233	========/======	40/56	96.92	89.37	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	6cbb550b-c49a-466f-845d-63a30d3c9cbf	1152	2374	-	mdf(A)_1	1-1231/1233	========/======	29/46	97.65	91.84	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	6cc174af-74e8-499a-a560-53e1311006e0	503	1570	-	blaCMY-74_1	37-1099/1146	========/======	38/75	89.70	68.27	resfinder	JX440349	blaCMY-74	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	6d006e5a-20d6-47d4-80e6-ba7f31247d86	2491	3248	-	blaACT-1_1	331-1090/1146	....====/======	34/70	63.18	66.50	resfinder	U58495	blaACT-1	
filtered_barcode04_extracted_plasmids.fastq	6d1360ef-fdc3-4da2-95bd-4f0a638c432f	4473	5706	+	mdf(A)_1	1-1233/1233	========/======	42/89	96.43	87.09	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	6d164229-373b-4282-95af-598b3ebd623f	1067	2270	-	mdf(A)_1	11-1224/1233	========/======	40/70	95.21	90.27	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	6d2abf40-6f24-497f-8604-bf91a04db54e	514	1473	-	blaCMY-104_1	133-1099/1146	.=======/======	34/67	81.15	69.21	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	6d3c43a0-215b-4764-a18e-2d8d52f769f2	2891	3938	-	blaCMY-101_1	41-1146/1146	========/======	42/94	89.88	65.48	resfinder	KF526114	blaCMY-101	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	6d88c008-86c0-4f80-8cf7-2eb293c2cb14	1695	2747	-	blaCMY-40_1	37-1099/1146	========/======	44/88	88.48	67.06	resfinder	EU515251	blaCMY-40	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	6d8b2cce-1478-4b3b-be20-fbd66a529c61	459	1484	-	blaCMY-20_1	84-1097/1143	.=======/======	29/44	87.31	70.15	resfinder	AY960293	blaCMY-20	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	6ddc6249-d1d6-4411-a52b-9cfcad150ea5	3	732	+	blaOXA-162_1	67-798/798	.=======/======	36/72	87.09	84.48	resfinder	GU197550	blaOXA-162	Amoxicillin;Ampicillin;Cefepime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
filtered_barcode04_extracted_plasmids.fastq	6def6205-a76d-4408-8eeb-169ee74890b4	4024	5507	+	lsa(A)_1	1-1497/1497	========/======	57/87	96.66	90.81	resfinder	AY225127	lsa(A)	Lincomycin;Clindamycin;Dalfopristin;Pristinamycin_IIA;Virginiamycin_M
filtered_barcode04_extracted_plasmids.fastq	6e1cc9bb-5f24-42e0-9020-a36c3faa424d	3114	3882	-	mdf(A)_1	450-1223/1233	.....===/======	32/57	60.26	85.38	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	6e42a953-89e6-4a6e-a183-ccb1ec8dcb56	2260	3210	-	blaCMY-50_1	136-1100/1146	.=======/======	30/62	80.89	68.25	resfinder	FN645444	blaCMY-50	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	6e9dbcfa-b848-41fa-b92e-c537df8c44a5	3316	3663	+	tet(34)_1	77-421/465	..======/=====.	13/25	71.83	70.75	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	6eb18394-be82-451f-80b5-8d40ae444eb2	2379	2740	+	tet(34)_1	66-421/465	.=======/=====.	7/16	75.48	70.84	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	6ebc7c87-dbce-4b60-ad8c-753fe16f2050	1417	2337	-	blaCMY-74_1	139-1096/1146	.=======/======	32/61	79.32	69.48	resfinder	JX440349	blaCMY-74	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	6ed492d8-7cfb-4c66-b2bb-e19a83cbba35	4653	5711	-	blaCMY-40_1	37-1100/1146	========/======	45/85	88.92	66.49	resfinder	EU515251	blaCMY-40	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	6efa1bac-a58f-42d1-b4b4-e9dae1236f94	1207	2402	-	mdf(A)_1	3-1227/1233	========/======	37/67	95.46	87.86	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	6f2b97d1-675b-4091-89f9-82d9ac592b6f	3102	4074	-	blaCMY-104_1	143-1130/1146	.=======/======	38/69	82.55	67.69	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	6f413775-147d-4513-b052-a11464eff22d	2760	3124	+	tet(34)_1	66-421/465	.=======/=====.	11/13	76.13	72.75	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	6f4bc323-0e62-46e1-a52f-b12151a9148b	1342	2375	+	blaCMY-74_1	37-1087/1146	========/======	33/59	88.39	67.72	resfinder	JX440349	blaCMY-74	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	6f7b028e-0f0c-4902-9c0b-1ddc2ecf6bd9	3661	4665	+	blaCFE-1_1	40-1094/1146	========/======	46/112	84.99	66.39	resfinder	AB107899	blaCFE-1	
filtered_barcode04_extracted_plasmids.fastq	6fed659f-a8e0-4c29-892e-e3a00409295a	1965	3174	-	mdf(A)_1	4-1233/1233	========/======	48/90	95.30	87.35	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	6ff1c33e-88c4-4c8c-9442-3762fccf26a7	2975	4197	+	mdf(A)_1	1-1233/1233	========/======	30/46	97.73	92.65	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	6ffe9f02-1722-46b4-b6c7-f6c2b9239990	2721	4211	+	lsa(A)_1	8-1497/1497	========/======	54/95	96.39	89.73	resfinder	AY225127	lsa(A)	Lincomycin;Clindamycin;Dalfopristin;Pristinamycin_IIA;Virginiamycin_M
filtered_barcode04_extracted_plasmids.fastq	708c99e5-9b41-4fe3-8823-6478021124b4	2754	3710	-	blaCMY-155_1	133-1097/1146	.=======/======	46/98	79.58	67.23	resfinder	KR261698	blaCMY-155	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	70a787e9-a3bd-4378-afb5-a7b9b11dfed6	425	765	-	tet(34)_1	66-421/465	.=======/=====.	18/35	71.18	69.94	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	70c2bd31-d622-497f-8325-79c79593cfed	1269	1610	-	tet(34)_1	69-415/465	..======/=====.	9/17	72.26	70.25	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	70d682c0-e6e8-48d8-a2d3-0720afdc258c	2650	3279	-	qnrB1_1	1-645/645	========/======	19/37	95.97	92.23	resfinder	DQ351241	qnrB1	Ciprofloxacin
filtered_barcode04_extracted_plasmids.fastq	71015381-7e17-44d6-8209-14e2a646746a	605	1623	+	mdf(A)_1	1-1032/1233	========/====..	44/73	80.21	85.78	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	71015381-7e17-44d6-8209-14e2a646746a	8943	10084	-	mdf(A)_1	1-1233/1233	========/======	49/127	91.16	83.77	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	711044a6-58d2-4efa-b1e4-dd18d659fabf	914	2142	+	mdf(A)_1	1-1233/1233	========/======	45/76	96.76	88.34	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	713285ef-479f-4402-8ecf-fcc53ac97424	1	834	+	mdf(A)_1	405-1233/1233	....====/======	19/37	65.94	92.47	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	71522d39-9a0a-4d2f-88de-85fdd0451cc7	4809	6041	-	mdf(A)_1	1-1228/1233	========/======	37/59	97.40	91.98	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	7158c575-2462-4053-abcf-2c6c917ecd81	948	2443	-	lsa(A)_1	1-1497/1497	========/======	53/79	97.33	91.60	resfinder	AY225127	lsa(A)	Lincomycin;Clindamycin;Dalfopristin;Pristinamycin_IIA;Virginiamycin_M
filtered_barcode04_extracted_plasmids.fastq	716bffdf-6b10-465c-9f33-dfbbfdf51fe1	974	1315	-	tet(34)_1	66-417/465	.=======/=====.	9/16	72.90	71.55	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	71794529-368c-4e15-b5c0-d3768214072c	569	1808	+	mdf(A)_1	1-1228/1233	========/======	62/122	95.13	81.78	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	718f5aa8-360a-4940-8426-fed9bbe8b50c	819	2055	+	mdf(A)_1	1-1231/1233	========/======	49/118	95.30	83.14	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	71d3a745-9be4-48a3-bcbd-96423e346a6f	1641	2588	+	blaCMY-101_1	133-1085/1146	.=======/======	46/85	79.23	66.87	resfinder	KF526114	blaCMY-101	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	71d47790-e9e1-4d9c-8aa4-9a6517915799	838	1197	+	tet(34)_1	66-421/465	.=======/=====.	12/16	75.27	73.77	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	71e73813-e0b9-43f0-9da1-6654493813a3	1794	2151	+	tet(34)_1	69-421/465	..======/=====.	6/9	75.48	73.06	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	722dd188-0294-43d1-b3c5-16107b7b72dc	2250	3449	-	mdf(A)_1	1-1210/1233	========/======	44/76	94.65	87.77	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	723b80bf-1761-4b18-ab62-38d97313600a	1911	2946	-	blaCMY-155_1	37-1097/1146	========/======	32/55	89.09	69.61	resfinder	KR261698	blaCMY-155	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	72578821-27b2-4c19-b1c1-1aa2f3cf875c	5848	6837	+	blaCMY-124_1	139-1130/1146	.=======/======	35/56	84.03	68.40	resfinder	KM985462	blaCMY-124	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	728c055e-cc77-4a55-b0ae-16737c32abc4	3613	3959	+	tet(34)_1	66-421/465	.=======/=====.	7/9	74.62	73.60	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	72ac9446-b411-411c-ba2d-275b5704f485	1314	1732	+	tet(34)_1	1-421/465	========/=====.	12/20	88.17	70.23	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	72cdf9fd-8a53-4795-a46f-fb4ba478364f	3122	4189	-	lsa(A)_1	391-1497/1497	...=====/======	42/73	70.21	86.92	resfinder	AY225127	lsa(A)	Lincomycin;Clindamycin;Dalfopristin;Pristinamycin_IIA;Virginiamycin_M
filtered_barcode04_extracted_plasmids.fastq	72d9e271-8e8c-42d4-9e23-8e56ccd27639	2607	3577	-	mdf(A)_1	259-1232/1233	..======/======	35/57	76.56	88.81	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	72ff2d02-5bcd-469d-8c35-a10be53d58d7	1509	2440	+	mdf(A)_1	1-914/1233	========/===...	35/70	72.02	86.85	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	7313bb72-3cab-4ff2-ac2a-7244777620ae	1177	2246	-	blaCFE-1_1	37-1130/1146	========/======	34/76	91.10	68.04	resfinder	AB107899	blaCFE-1	
filtered_barcode04_extracted_plasmids.fastq	734e3d8c-009a-45c9-8581-508574e2a139	2	1238	-	lsa(A)_1	1-1289/1497	========/=====.	44/70	82.03	88.67	resfinder	AY225127	lsa(A)	Lincomycin;Clindamycin;Dalfopristin;Pristinamycin_IIA;Virginiamycin_M
filtered_barcode04_extracted_plasmids.fastq	734ed206-7c0c-4055-9608-fda1be9b5095	3204	4423	+	mdf(A)_1	1-1233/1233	========/======	46/85	96.03	88.50	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	73b8c6ab-b0b0-4e81-b641-c07f0a57894b	586	1532	+	blaCMY-101_1	133-1096/1146	.=======/======	33/75	80.10	67.57	resfinder	KF526114	blaCMY-101	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	73baa665-bab2-4bfb-bae0-db668572f28a	3	925	-	mdf(A)_1	1-936/1233	========/===...	36/61	72.91	87.19	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	73d5f218-56d9-470d-9af8-8013f4960b37	1637	2717	-	mdf(A)_1	124-1233/1233	.=======/======	35/65	86.21	89.01	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	73eb41d0-79ca-423e-b6d9-e5ed1b9ba687	1	915	+	mdf(A)_1	321-1233/1233	...=====/======	24/38	72.59	91.21	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	743d02a9-a3ef-4eb8-9563-c4a58e1906f8	2	1188	+	mdf(A)_1	25-1233/1233	========/======	29/44	95.38	91.64	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	74560897-b36d-4253-811b-f3d22a1a3dc8	3541	4715	+	mdf(A)_1	1-1222/1233	========/======	47/117	92.46	83.69	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	7473c80f-a6b3-4868-b277-78beb602a16d	5	872	-	mdf(A)_1	1-889/1233	========/===...	34/51	69.18	88.16	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	7473c80f-a6b3-4868-b277-78beb602a16d	3986	4865	+	mdf(A)_1	1-894/1233	========/===...	39/78	68.78	85.20	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	7487a287-5db2-4847-80c1-1aba025eb98e	691	1569	-	blaCMY-13_1	37-944/1146	========/====..	50/93	73.91	66.28	resfinder	AY339625	blaCMY-13	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	74a3f75c-f274-42cf-9420-7b03e3d19bd7	3729	4947	-	mdf(A)_1	3-1223/1233	========/======	45/96	95.05	84.62	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	7570176e-68e2-45ce-ac97-40baa94a1106	1838	2772	+	blaCMY-39_1	133-1079/1146	.=======/======	30/58	79.58	69.48	resfinder	AB372224	blaCMY-39	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	7586e29f-6ec1-416d-8a84-66ef95f1cca8	2341	3535	+	mdf(A)_1	1-1230/1233	========/======	45/115	93.67	86.22	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	75ba47d0-7316-437d-8f3e-839ef3522e16	12	831	-	blaCMY-135_1	139-952/1146	.=======/====..	35/72	68.15	67.29	resfinder	KP981366	blaCMY-135	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	75c019fd-acf5-42c2-afb0-bfcef99af5df	139	1020	-	blaCMY-104_1	165-1087/1146	..======/======	44/89	74.87	67.16	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	75eb61b4-989d-49b6-af54-612fd8e86c85	4635	5909	+	mdf(A)_1	1-1233/1233	========/======	50/104	97.49	85.38	resfinder	Y08743	mdf(A)	
